day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,service_year_of_vehicle,defect_of_vehicle,area_accident_occured,lanes_or_medians,road_allignment,types_of_junction,road_surface_type,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,pedestrian_movement,cause_of_accident,hour,time_period,Predicted_Accident_Severity
Monday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,2,Moving Backward,Not a Pedestrian,Changing lane to the right,3,Night,2
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Other,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No priority to vehicle,17,Evening,2
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Moving Backward,Not a Pedestrian,Moving Backward,17,Evening,2
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Other,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,Not a Pedestrian,Changing lane to the left,17,Evening,2
Friday,31-50,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,1,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overturning,19,Evening,2
Thursday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,10,Morning,1
Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,10,Morning,1
Friday,Under 18,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Not a Pedestrian,No distancing,9,Morning,2
Friday,18-30,Male,Above high school,Employee,5-10yr,Other,Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,9,Morning,2
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,16,Afternoon,2
Monday,18-30,Unknown,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,16,Afternoon,2
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,19,Evening,2
Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Reversing,Not a Pedestrian,Changing lane to the left,16,Afternoon,2
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Other,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,No distancing,12,Afternoon,2
Friday,31-50,Unknown,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Moving Backward,Not a Pedestrian,Changing lane to the left,19,Evening,2
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,19,Evening,2
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,17,Evening,2
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,17,Evening,2
Saturday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,17,Evening,2
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the right,18,Evening,2
Tuesday,18-30,Male,High school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Turnover,Not a Pedestrian,Moving Backward,18,Evening,2
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the right,15,Afternoon,2
Sunday,Under 18,Male,High school,Employee,5-10yr,Other,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,14,Afternoon,2
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,Overtaking,17,Evening,1
Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Other,17,Evening,1
Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Other,17,Evening,1
Sunday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,17,Evening,1
Sunday,Under 18,Male,Elementary school,Other,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,No priority to pedestrian,17,Evening,2
Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No priority to vehicle,16,Afternoon,2
Monday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the left,16,Afternoon,2
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Not a Pedestrian,Changing lane to the left,16,Afternoon,2
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Motorcycle,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Moving Backward,Not a Pedestrian,Overtaking,9,Morning,2
Thursday,18-30,Male,Junior high school,Other,Below 1yr,Public (12 seats),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Rollover,2,1,Going straight,Not a Pedestrian,No distancing,9,Morning,2
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No priority to vehicle,8,Morning,2
Friday,31-50,Male,High school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the right,10,Morning,2
Wednesday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,Not a Pedestrian,Changing lane to the left,16,Afternoon,2
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Not a Pedestrian,No distancing,17,Evening,2
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Thursday,31-50,Male,Above high school,Employee,5-10yr,Automobile,Organization,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,4,2,Going straight,Not a Pedestrian,No priority to pedestrian,17,Evening,2
Thursday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,4,2,Parked,Not a Pedestrian,Driving carelessly,17,Evening,2
Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Unknown or other,Moving Backward,15,Afternoon,2
Monday,18-30,Male,Junior high school,Employee,2-5yr,Other,Organization,5-10yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,1,Going straight,Not a Pedestrian,No distancing,15,Afternoon,2
Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Unknown,Not a Pedestrian,No distancing,15,Afternoon,2
Monday,31-50,Female,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,5-10yrs,No defect, Hospital areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,No distancing,15,Afternoon,2
Thursday,18-30,Male,Elementary school,Employee,1-2yr,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Changing lane to the left,16,Afternoon,2
Thursday,Over 51,Unknown,High school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,3,2,Stopping,Not a Pedestrian,Changing lane to the left,16,Afternoon,2
Thursday,31-50,Male,Junior high school,Owner,1-2yr,Public (12 seats),Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Moving Backward,16,Afternoon,2
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,5-10yrs,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Overtaking,Not a Pedestrian,Changing lane to the right,17,Evening,2
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,No priority to vehicle,17,Evening,2
Saturday,Unknown,Female,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Reversing,Not a Pedestrian,Moving Backward,11,Morning,2
Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Collision with roadside objects,3,2,Going straight,Not a Pedestrian,Driving carelessly,11,Morning,2
Saturday,31-50,Unknown,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Driving carelessly,11,Morning,2
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Collision with roadside objects,3,2,Unknown,Not a Pedestrian,Driving under the influence of drugs,11,Morning,2
Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,No priority to pedestrian,12,Afternoon,2
Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Moving Backward,Not a Pedestrian,No priority to vehicle,12,Afternoon,2
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Collision with pedestrians,3,2,Going straight,Not a Pedestrian,Driving carelessly,12,Afternoon,2
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Moving Backward,Not a Pedestrian,Moving Backward,12,Afternoon,2
Friday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,No defect, Industrial areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,7,Morning,2
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,7,Morning,2
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Snow,Vehicle with vehicle collision,2,2,Unknown,Not a Pedestrian,Changing lane to the right,19,Evening,2
Sunday,31-50,Male,High school,Employee,Above 10yr,Automobile,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Snow,Collision with pedestrians,2,2,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,19,Evening,2
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to vehicle,20,Evening,2
Sunday,Over 51,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,Not a Pedestrian,Driving carelessly,20,Evening,2
Sunday,Over 51,Male,Elementary school,Employee,1-2yr,Other,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Turnover,Not a Pedestrian,Moving Backward,20,Evening,2
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No distancing,20,Evening,2
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,6,Going straight,Not a Pedestrian,Changing lane to the left,20,Evening,2
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,Not a Pedestrian,Changing lane to the left,20,Evening,2
Wednesday,Over 51,Unknown,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,4,2,Reversing,Not a Pedestrian,No distancing,13,Afternoon,2
Wednesday,18-30,Male,High school,Other,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,4,2,Getting off,Not a Pedestrian,Changing lane to the left,13,Afternoon,2
Wednesday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Not a Pedestrian,Driving carelessly,13,Afternoon,2
Wednesday,Unknown,Female,Junior high school,Employee,1-2yr,Pick up upto 10Q,Other,1-2yr,No defect,  Recreational areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Collision with roadside objects,4,2,Getting off,Not a Pedestrian,Changing lane to the left,13,Afternoon,2
Sunday,Under 18,Male,High school,Owner,5-10yr,Automobile,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,13,Afternoon,2
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,13,Afternoon,2
Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,7,Morning,2
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,7,Morning,2
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,15,Afternoon,2
Friday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,20,Evening,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Governmental,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving under the influence of drugs,20,Evening,2
Friday,31-50,Male,Above high school,Employee,1-2yr,Automobile,Governmental,1-2yr,No defect, Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No priority to pedestrian,20,Evening,2
Thursday,Over 51,Male,Elementary school,Employee,Above 10yr,Other,Organization,1-2yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Snow,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Moving Backward,17,Evening,2
Thursday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Moving Backward,Not a Pedestrian,Changing lane to the right,17,Evening,2
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,17,Evening,2
Friday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Changing lane to the right,14,Afternoon,2
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,12,Afternoon,2
Sunday,18-30,Unknown,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to vehicle,12,Afternoon,2
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Above 10yr,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Going straight,Not a Pedestrian,No priority to vehicle,7,Morning,2
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,16,Afternoon,2
